"","STATE","DATE","POPULATION","NEWCONFIRMED","CUMCONFIRMED","NEWDEATHS","CUMDEATHS","UID","CODE3","SQMI","EVENT_CATG_S","SCORE","SHORT_DESCRIPT","RESTRICTIONS","PHASED_REOPENING","COUNTYLEVEL","FACECOVER_RQD","STUSAB","LATITUDE","LONGITUDE","STATEFP","GNISID","NEWCD_NORM_500","NEWDEATHS_NORM500","REGION"
"11879","MONTANA",2020-02-10,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11880","MONTANA",2020-02-11,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11881","MONTANA",2020-02-12,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11882","MONTANA",2020-02-13,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11883","MONTANA",2020-02-14,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11884","MONTANA",2020-02-15,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11885","MONTANA",2020-02-16,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11886","MONTANA",2020-02-17,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11887","MONTANA",2020-02-18,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11888","MONTANA",2020-02-19,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11889","MONTANA",2020-02-20,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11890","MONTANA",2020-02-21,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11891","MONTANA",2020-02-22,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11892","MONTANA",2020-02-23,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11893","MONTANA",2020-02-24,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11894","MONTANA",2020-02-25,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11895","MONTANA",2020-02-26,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
